horizon,n_samples,mean_change,std_change,train_rmse,test_rmse,test_mae,test_r2,dir_accuracy
1,215,-0.9209302325581403,7.035841424533706,4.591826776008275,7.799655476689238,5.649250805511637,-0.09487368820535602,0.3561643835616438
2,213,-1.3615023474178394,9.427269838093652,5.533105003198196,11.694845218232116,7.9315762119333995,-0.16783073889657252,0.4788732394366197
5,206,-0.7718446601941753,12.735254830784507,8.134605910441836,14.086579651859976,10.178434688505563,-0.05649790792456555,0.5070422535211268
10,202,-0.9405940594059405,15.497919476595852,9.965513118352339,18.12120836474347,12.351200548300726,-0.11078679801482205,0.5070422535211268
20,202,-1.4801980198019784,22.00321333295477,14.673822149366375,31.27438463565951,20.98464284917203,-0.8242412073028977,0.5352112676056338
